13pk,2759.9,1,274,54,0.197,77,149.8,-0.37
1a12_1,1544.3,5,175,29,0.166,68,80.1001,-1.064
1a12_2,1323.5,4,134,26,0.194,63,67.2,-1.15
1a39,964.2,6,109,9,0.083,41,49.2,-3.73
1a3y_1,1538.6,3,163,30,0.184,63,85.0001,-1.16
1a3y_2,1235.98,7,135,26,0.193,69,62.4,-4.2
1a6q,1113.9,3,115,22,0.191,61,63.6,-1.15
1a7t,1276.22,5,142,25,0.176,60,74.9001,-0.99
1a7v_1,1100.69,4,108,18,0.167,56,56.6,-4.04
1a7v_2,1071.9,0,120,24,0.200,62,74.2001,-2.89
1ad5,2095.3,5,235,51,0.217,71,109.6,-2.299999
1ae9,987.02,3,109,21,0.193,65,55.1,-1.69
1af7,2182.2,4,219,47,0.215,57,110.8,1.49
1afk,1631.78,6,164,44,0.268,60,87.4001,-4.84
1ag9,833.27,5,82,14,0.171,61,41,0.74
1ah7_1,1021.6,1,113,23,0.204,64,58.1,-1.88
1ah7_2,1903.8,2,190,30,0.158,74,109.6,0.800001
1ajk,1057.72,6,118,44,0.373,80,67.4,-0.11
1ako_1,1699,12,172,40,0.233,68,88.0001,-1.84
1ako_2,1374.6,2,124,22,0.177,71,66.6,4.36
1akz,1160.1,3,127,14,0.110,49,67,-3.539999
1amu_1,1027.1,3,111,11,0.099,55,55,-3.519999
1amu_2,1356.9,4,143,32,0.224,75,82.9001,0.57
1aq0,1432.3,6,152,35,0.230,73,83.2001,0.04
1aqz,1067.27,6,117,25,0.214,67,54.1,-3
1atl,1239.38,1,135,26,0.193,70,69.5001,-0.74
1aw7,2296,14,257,40,0.156,66,126.4,-3.159999
1ayi,986.8,2,110,15,0.136,64,58.5,-2.93
1ayl,1819.1,10,184,34,0.185,65,89.6001,2.420001
1b1j_1,1448.2,2,172,32,0.186,53,89.4001,-1.84
1b1j_2,1070.9,4,100,10,0.100,65,46.2,-0.54
1b24,2055.2,10,221,46,0.208,71,110.6,-4.16
1b3j,3290.2,14,344,86,0.250,84,198.2,3.180001
1b80,1169.4,1,123,11,0.089,46,71.1001,-1.95
1b8x,1935.4,2,205,20,0.098,51,103.8,1.73
1bc2,1063.28,4,110,32,0.291,69,58.1,0.08
1be0,1216.8,8,131,27,0.206,63,58.4,-2.54
1bea,1057.65,4,122,28,0.230,57,62.2,-0.6
1bf6,1013.7,7,107,31,0.290,65,55.4,-0.65
1bg0,1202.7,1,160,17,0.106,50,68.8,-8.040001
1bgc,1201.45,2,120,20,0.167,50,58.7,0.42
1bin,1121.33,3,123,32,0.260,62,70.3,-5.71
1bkz,1461.31,7,141,39,0.277,64,73.0001,-1.49
1bs2_1,2237.2,2,244,66,0.270,76,139.2,0.8
1bs2_2,2001.1,3,221,34,0.154,59,109,-3.679999
1byo,966.14,7,97,33,0.340,62,49.3,-1.3
1c02,1732.6,4,179,43,0.240,66,84.9001,1.02
1caq,1344.21,10,148,36,0.243,66,72.4,0.32
1cfy,1026.65,6,112,30,0.268,64,53.9,-2.77
1ck7_1,1892.9,8,212,66,0.311,72,102.6,-1.94
1ck7_2,2648.2,4,262,28,0.107,71,122.8,-6.34
1cki_1,3395.3,15,355,90,0.254,88,197.3,8.729999
1cki_2,1851.6,8,190,38,0.200,69,101.2,0.39
1clu,1508.96,6,176,46,0.261,68,80.0001,-2.339999
