12as,3759.7,7,368,97,0.264,75,232.699,6.699998
1a3c,1975.49,10,210,94,0.448,83,104.8,0.06
1a4i,2718.9,25,272,102,0.375,93,140.7,-2.469999
1a4u,5073.6,20,470,203,0.432,100,287.399,9.429998
1aa7,2178.4,7,215,71,0.330,87,114.7,-0.96
1ad3,7882.1,37,773,341,0.441,94,429.198,3.220001
1ade,5411.3,23,561,129,0.230,91,294.699,-1.719998
1af5,1712.29,2,194,84,0.433,91,115.4,-0.62
1afw,4800.8,34,502,198,0.394,95,277.099,1.570001
1ajs,6852.6,43,666,260,0.390,94,363.299,10.259995
1alo,2429.7,4,274,62,0.226,68,147.8,3.960001
1amk,2953.9,22,306,132,0.431,111,181,4.440001
1aor,2464.5,18,252,82,0.325,87,135.4,-2.61
1aq6,4444.7,23,447,278,0.622,110,265.499,5.879999
1auo,1332.59,8,154,57,0.370,59,92.5001,3.43
1b3a,1492.26,8,171,64,0.374,83,85.2001,4.42
1b5e,5157.1,29,506,189,0.374,99,268.399,9.359999
1b67,3229.34,7,323,144,0.446,86,192.8,0.98
1b8a,8741,54,900,450,0.500,81,521.598,18.409988
1b8j,7581.5,48,783,315,0.402,109,435.798,-1.429999
1bam,1489.94,6,152,60,0.395,77,90.2001,2
1bbh,1540.74,1,171,80,0.468,86,113.6,1.37
1bd0,6186.4,38,645,198,0.307,94,352.999,7.059999
1bif,1796.9,12,198,44,0.222,55,96.4001,-0.34
1biq,6037.2,39,606,225,0.371,101,347.699,3.770001
1bis,2992.66,8,320,93,0.291,89,182.8,2.680001
1bjw,5865.8,44,632,270,0.427,107,363.799,1.690001
1bkp,4411.8,39,449,149,0.332,96,242.299,-1.719998
1bmd,3187.4,14,329,148,0.450,89,182,-2.589999
1brw,2117.1,12,235,116,0.494,45,139.1,2.55
1bsl,3837.7,8,421,196,0.466,102,246.699,13.53
1bsr,3843.68,26,395,151,0.382,106,219.8,6.05
1buo,3943.68,20,378,140,0.370,86,224.6,10.2
1bxg,2082.7,9,216,68,0.315,79,113.6,2.730001
1bxk,2571.2,7,273,116,0.425,80,160.5,2.360001
1cg2,2610.2,11,259,105,0.405,80,150.4,1.520001
1chm,6642.2,30,699,242,0.346,91,386.898,12.899995
1cmb,3626.72,14,323,138,0.427,115,206.9,8.189998
1cnz,4947.1,32,493,224,0.454,91,289.399,7.510001
1coz,2100.68,10,208,88,0.423,78,137.3,5.52
1csh,10114.7,46,994,436,0.439,133,562.599,9.599993
1ctt,3980,28,410,150,0.366,106,241.999,6.099999
1cvu,4891.4,35,522,158,0.303,45,287.399,-1.2
1czj,1657.3,16,160,42,0.263,78,100,2.78
1daa,4604.4,16,478,228,0.477,116,285.199,0.830001
1dor,4399.3,19,436,148,0.339,91,266.199,8.559999
1dpg,4570.2,19,448,177,0.395,93,278.499,3.89
1dqs,3286.2,15,345,119,0.345,90,192.5,-3.149999
1dxg,1479.02,14,149,67,0.450,82,81.6001,2.6
1.00E+98,1540.8,2,166,76,0.458,78,100.6,2.4
1ebh,3575.9,23,394,166,0.421,88,200.5,-2.439999
1f13,5115.4,25,570,154,0.270,70,313.899,-1.749998
1fip,3376.84,11,370,162,0.438,111,234.299,7.709999
1fro,7259,36,735,274,0.373,97,400.998,16.109997
1gvp,1815.56,2,176,60,0.341,84,110.4,8.419998
1hhp,3197.6,20,328,138,0.421,116,186.8,5.86
1hss,2194.85,11,215,57,0.265,79,125.5,-0.22
1hxp,6849.7,28,710,327,0.461,97,419.298,14.089998
1icw,1971.11,15,211,81,0.384,80,112.4,-0.77
1imb,3299.5,14,324,114,0.352,94,187,6.219999
1isa,1842.76,14,189,50,0.265,81,111.3,1.790001
1ivy,3168.2,14,350,82,0.234,84,189.6,5.359999
1jhg,4414.72,6,436,146,0.335,104,266.599,9.32
1jsg,1588.96,4,160,60,0.375,70,95.0001,6.319999
1kba,981.53,8,103,29,0.282,60,54.5,5.179999
1kpf,3734.84,28,388,198,0.510,113,215.2,0.46
1lyn,1898.68,4,183,59,0.322,75,112.6,8.36
1m6p,2044.04,8,217,45,0.207,69,121.7,-3.36
1mkb,3198.16,24,333,113,0.339,86,195.2,5.719998
1mor,5080.9,34,538,206,0.383,88,284.799,1.380001
1nox,6066.7,36,608,232,0.382,100,346.999,13.699998
1nse,5508.9,22,559,164,0.293,97,320.599,8.109997
1nsy,5232.7,10,533,189,0.355,92,322.799,1.47
1oac,14334.4,96,1438,571,0.397,103,797.805,1.880002
1opy,2095.19,4,228,128,0.561,95,125.4,4.12
1pgt,2464.8,8,237,104,0.439,83,134.2,4.670001
1pre,4591.7,18,516,107,0.207,57,248.199,-0.659999
1qfh,4570.2,37,486,168,0.346,105,265.099,-7.12
1qhi,3398.7,11,333,129,0.387,87,217,9.309995
1qr2,3882.2,22,422,147,0.348,90,259.199,9.579998
1r2f,3486.6,13,370,130,0.351,92,208.5,6.009998
1reg,1303.2,7,140,41,0.293,90,70.3,-0.52
1rfb,5298.5,3,551,69,0.125,98,337.799,2.839999
1rpo,2807.08,10,256,98,0.383,75,145.8,3.900001
1ses,4466.5,31,441,224,0.508,98,266.599,12.369999
1slt,1093.42,9,118,27,0.229,59,63.3,2.1
1smn,1734.6,12,171,61,0.357,84,89.1001,1.54
1smt,3934.22,9,392,174,0.444,100,234.099,9.629997
1sox,2827.4,16,296,91,0.307,78,162.3,-1.099999
1tc1,3010.64,14,300,102,0.340,86,168.1,6.61
1tox,7441.2,22,748,180,0.241,91,387.999,-2.099998
1trk,8973.4,51,920,319,0.347,92,509.498,-3.549999
1uby,3533.5,4,360,66,0.183,74,196.2,-8.840002
1utg,2970.49,0,270,106,0.393,79,173.2,7.379999
1vfr,6873.9,49,672,254,0.378,102,381.299,8.929998
1vok,3159.4,8,311,75,0.241,68,203.8,6.110001
1wtl,1390.45,4,163,67,0.411,74,103.3,1.75
1xso,1370.13,4,155,65,0.419,79,93.8001,3.36
2arc,1624.13,2,177,66,0.373,79,101,3.03
2ccy,1613.56,1,164,81,0.494,83,93.7001,0.6
2hdh,3038.3,6,311,83,0.267,87,195.8,5.239998
2ilk,9114.6,32,892,432,0.484,128,580.399,18.860008
2lig,3313.36,12,348,122,0.351,77,191.6,9.629999
2mcg,3281.9,11,352,81,0.230,68,198,-3.69
2nac,7599.7,41,765,378,0.494,118,445.298,8.169996
2ohx,3431.5,18,355,152,0.428,92,201.3,6.179999
2spc,5096.96,16,487,193,0.396,88,302.699,7.96
2sqc,1615.7,4,155,42,0.271,77,90.1001,0.49
2tct,5350.3,18,546,180,0.330,93,327.999,7.599998
2tgi,2524.6,4,248,78,0.315,72,145.4,14.320001
3dap,5319.2,27,544,236,0.434,106,326.499,6.979996
3grs,6604.7,28,662,290,0.438,110,397.398,9.479998
3sdh,1772.28,7,178,64,0.360,66,94.7001,-3.779999
3ssi,1732.67,4,177,71,0.401,77,94.5001,0.38
4cha,2054.8,10,212,43,0.203,67,112.3,4.639999
4kbp,2945.7,4,286,55,0.192,71,160.6,1.650001
5csm,4013,10,406,124,0.305,73,239.399,3.060001
